album_name, artist, release_date, link, image
Head Over Heels,Cocteau Twins,16th March 2018,http://4ad.com/releases/308,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/566198b4960d8.jpg
Treasure,Cocteau Twins,16th March 2018,http://4ad.com/releases/309,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5661992a1b8d7.jpg
All Nerve,The Breeders,2nd March 2018,http://4ad.com/releases/869,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5a53936075405.jpg
In A Poem Unlimited,U.S. Girls,16th February 2018,http://4ad.com/releases/866,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5a1d42b77d97e.jpg
I can feel you creep into my private life,Tune-Yards,19th January 2018,http://4ad.com/releases/865,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/59ee03a6070a7.jpg
IBM 1401, A User's Manual (2017 Vinyl Reissue),Johann Johannsson,8th December 2017,http://4ad.com/releases/862,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/59e61b273b142.jpg
Dorsal EP,Bing & Ruth,20th October 2017,http://4ad.com/releases/864,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/59e9c2582e671.jpg
Wait in the Car,The Breeders,3rd October 2017,http://4ad.com/releases/860,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/59d396b053a98.jpg
Three Futures,TORRES,29th September 2017,http://4ad.com/releases/854,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5963bf1a52d45.jpg
Brothers of Destruction,The Lemon Twigs,22nd September 2017,http://4ad.com/releases/855,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/596e4f17360ad.jpg
Sleep Well Beast,The National,8th September 2017,http://4ad.com/releases/852,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5913672e1d363.jpg
Music from Before the Storm,Daughter,1st September 2017,http://4ad.com/releases/857,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5988465515708.jpg
Asido,Purity Ring,24th July 2017,http://4ad.com/releases/856,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5975fdd17fc97.jpg
Planetarium,Sufjan Stevens& Bryce Dessner& Nico Muhly& James McAlister,9th June 2017,http://4ad.com/releases/850,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/58d8d9cb32a68.jpg
Skim,TORRES,6th June 2017,http://4ad.com/releases/853,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/5936c61fb2d54.jpg
The Age Of Anxiety,Pixx,2nd June 2017,http://4ad.com/releases/845,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/58a2f987e7795.jpg
Party,Aldous Harding,19th May 2017,http://4ad.com/releases/847,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/58cfd0b948f99.jpg
Big Bad Luv,John Moreland,5th May 2017,http://4ad.com/releases/846,https://s3-eu-west-1.amazonaws.com/cdn.beggars.com/fourad/site/images/releases/packshots/58af052c4ecff.jpg
